Iteration,TTFB_ms
1,1391.519
2,47.014
3,48.666
4,46.381
5,98.736
6,37.664
7,38.494
8,40.805
9,39.540
10,154.494
11,98.260
12,72.150
13,35.554
14,367.991
15,185.034
16,48.021
17,126.496
18,229.273
19,39.585
20,49.276
21,43.134
22,47.826
23,41.638
24,147.719
25,385.753
26,162.894
27,136.695
28,49.737
29,47.953
30,44.198
31,258.220
32,116.646
33,45.108
34,36.715
35,48.041
36,39.916
37,43.910
38,53.455
39,37.429
40,39.674
41,37.302
42,100.213
43,73.168
44,38.974
45,48.079
46,41.544
47,51.486
48,40.404
49,186.032
50,47.759
